기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2021,4,A,골목상권,2110335,석계역 7번,112,4,2,NA,NA,11,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,40
2021,4,A,골목상권,2110336,석관고등학교,43,4,NA,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
2021,4,A,골목상권,2110337,아카데미하우스,71,7,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,33
2021,4,A,골목상권,2110338,인수초등학교,64,7,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2021,4,A,골목상권,2110339,국립4.19민주묘지,53,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,27
2021,4,A,골목상권,2110340,인수중학교,63,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2021,4,A,골목상권,2110341,북한산우이역 2번,49,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,23
2021,4,A,골목상권,2110342,국립재활원,75,3,NA,NA,1,5,NA,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,36
2021,4,A,골목상권,2110343,무너미어린이공원,80,4,1,NA,NA,3,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30
2021,4,A,골목상권,2110344,화계중학교,45,NA,NA,NA,NA,2,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,18
2021,4,A,골목상권,2110345,솔밭공원역 2번,105,4,NA,NA,1,7,1,1,1,NA,14,NA,NA,NA,NA,NA,NA,NA,2,43
2021,4,A,골목상권,2110346,4.19민주묘지역 2번,66,4,1,NA,NA,4,NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,1,17
2021,4,A,골목상권,2110347,구세군강북종합사회복지관,66,1,NA,NA,NA,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
2021,4,A,골목상권,2110348,강북문화예술회관,97,7,1,NA,1,9,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,26
2021,4,A,골목상권,2110349,화계역 2번,80,1,NA,NA,NA,8,NA,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,1,26
2021,4,A,골목상권,2110350,가오리역 2번,65,6,NA,NA,1,8,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,17
2021,4,A,골목상권,2110351,수유북부시장옆,101,5,NA,NA,NA,7,1,1,2,NA,5,NA,1,NA,NA,NA,NA,NA,1,36
2021,4,A,골목상권,2110352,수유1동주민센터,148,4,NA,NA,NA,11,NA,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,2,48
2021,4,A,골목상권,2110353,수유동우체국,99,6,1,NA,NA,13,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,2,17
2021,4,A,골목상권,2110354,삼각산119안전센터,93,1,2,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18
2021,4,A,골목상권,2110355,삼양사거리역 2번,150,4,2,NA,NA,16,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,28
2021,4,A,골목상권,2110356,덕수교,91,3,NA,NA,NA,8,NA,1,NA,1,17,NA,NA,NA,NA,NA,NA,NA,1,24
2021,4,A,골목상권,2110357,가오리역 1번,91,5,1,NA,1,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21
2021,4,A,골목상권,2110358,인수동 우편취급국,195,5,4,1,1,18,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,37
2021,4,A,골목상권,2110359,수유시장옆,157,6,6,1,1,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30
2021,4,A,골목상권,2110360,수유초등학교,204,5,4,1,1,22,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,38
2021,4,A,골목상권,2110361,삼양사거리역 1번,102,5,2,NA,NA,11,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,17
2021,4,A,골목상권,2110362,우이천 계성교,115,6,NA,NA,1,10,2,1,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,35
2021,4,A,골목상권,2110363,송천동주민센터,85,3,2,NA,NA,12,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
2021,4,A,골목상권,2110364,미아역 8번,170,6,4,NA,1,21,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,2,18
2021,4,A,골목상권,2110365,미아역 5번,149,4,5,NA,2,15,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,16
2021,4,A,골목상권,2110366,광산사거리,89,2,1,NA,1,10,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
2021,4,A,골목상권,2110367,강북구청,200,3,7,NA,2,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37
